MSFT (MICROSOFT CORP),46.26,-1.07,
Aug 11 2015 @ 11:59 ET,Bid,46.25,Ask,46.26,Size,38x6,Vol,8739000,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
15 Aug 41.00 (MSFT1514H41-S),4.90,0.0,5.25,5.45,0,411,15 Aug 41.00 (MSFT1514T41-S),0.0,0.0,0.0,0.08,0,0,
15 Aug 41.00 (MSFT1514H41-X),5.65,+0.55,5.25,5.45,1,411,15 Aug 41.00 (MSFT1514T41-X),0.0,0.0,0.0,0.08,0,0,
15 Aug 41.00 (MSFT1514H41-Y),0.0,0.0,5.25,5.45,0,411,15 Aug 41.00 (MSFT1514T41-Y),0.0,0.0,0.0,0.08,0,0,
15 Aug 41.50 (MSFT1514H41.5),5.45,+0.45,4.70,4.95,1,124,15 Aug 41.50 (MSFT1514T41.5),0.01,0.0,0.0,0.38,0,15,
15 Aug 41.50 (MSFT1514H41.5-4),5.00,0.0,4.70,4.95,0,124,15 Aug 41.50 (MSFT1514T41.5-4),0.0,0.0,0.0,0.38,0,15,
15 Aug 41.50 (MSFT1514H41.5-8),4.02,0.0,4.70,4.95,0,124,15 Aug 41.50 (MSFT1514T41.5-8),0.03,0.0,0.0,0.38,0,15,
15 Aug 41.50 (MSFT1514H41.5-A),5.30,0.0,4.70,4.95,0,124,15 Aug 41.50 (MSFT1514T41.5-A),0.0,0.0,0.0,0.38,0,15,
15 Aug 41.50 (MSFT1514H41.5-B),0.0,0.0,4.75,4.95,0,124,15 Aug 41.50 (MSFT1514T41.5-B),0.0,0.0,0.0,0.38,0,15,
15 Aug 41.50 (MSFT1514H41.5-E),5.00,0.0,4.70,4.95,0,124,15 Aug 41.50 (MSFT1514T41.5-E),0.0,0.0,0.0,0.38,0,15,
15 Aug 41.50 (MSFT1514H41.5-I),5.00,0.0,4.70,4.95,0,124,15 Aug 41.50 (MSFT1514T41.5-I),0.01,0.0,0.0,0.38,0,15,
15 Aug 41.50 (MSFT1514H41.5-J),0.0,0.0,4.75,4.95,0,124,15 Aug 41.50 (MSFT1514T41.5-J),0.0,0.0,0.0,0.38,0,15,
15 Aug 41.50 (MSFT1514H41.5-O),5.45,+0.45,4.70,4.95,1,124,15 Aug 41.50 (MSFT1514T41.5-O),0.46,0.0,0.0,0.38,0,15,
15 Aug 41.50 (MSFT1514H41.5-P),5.00,0.0,4.70,4.95,0,124,15 Aug 41.50 (MSFT1514T41.5-P),0.0,0.0,0.0,0.38,0,15,
15 Aug 41.50 (MSFT1514H41.5-S),5.00,0.0,4.75,4.95,0,124,15 Aug 41.50 (MSFT1514T41.5-S),0.0,0.0,0.0,0.38,0,15,
15 Aug 41.50 (MSFT1514H41.5-X),0.0,0.0,4.70,4.95,0,124,15 Aug 41.50 (MSFT1514T41.5-X),0.0,0.0,0.0,0.38,0,15,
15 Aug 41.50 (MSFT1514H41.5-Y),0.0,0.0,4.75,4.95,0,124,15 Aug 41.50 (MSFT1514T41.5-Y),0.0,0.0,0.0,0.38,0,15,
15 Aug 42.00 (MSFT1514H42),4.74,0.0,4.20,4.45,0,124,15 Aug 42.00 (MSFT1514T42),0.05,0.0,0.0,0.02,0,142,
15 Aug 42.00 (MSFT1514H42-4),0.0,0.0,4.20,4.45,0,124,15 Aug 42.00 (MSFT1514T42-4),0.07,0.0,0.0,0.09,0,142,
15 Aug 42.00 (MSFT1514H42-8),3.62,0.0,4.20,4.45,0,124,15 Aug 42.00 (MSFT1514T42-8),0.20,0.0,0.0,0.09,0,142,
15 Aug 42.00 (MSFT1514H42-A),0.0,0.0,4.20,4.45,0,124,15 Aug 42.00 (MSFT1514T42-A),0.05,0.0,0.0,0.03,0,142,
15 Aug 42.00 (MSFT1514H42-B),0.0,0.0,4.25,4.45,0,124,15 Aug 42.00 (MSFT1514T42-B),0.07,0.0,0.0,0.12,0,142,
15 Aug 42.00 (MSFT1514H42-E),0.0,0.0,4.20,4.45,0,124,15 Aug 42.00 (MSFT1514T42-E),0.08,0.0,0.0,0.02,0,142,
15 Aug 42.00 (MSFT1514H42-I),4.74,0.0,4.20,4.45,0,124,15 Aug 42.00 (MSFT1514T42-I),0.07,0.0,0.0,0.03,0,142,
15 Aug 42.00 (MSFT1514H42-J),0.0,0.0,4.25,4.45,0,124,15 Aug 42.00 (MSFT1514T42-J),0.0,0.0,0.0,0.03,0,142,
15 Aug 42.00 (MSFT1514H42-O),4.85,0.0,4.25,4.45,0,124,15 Aug 42.00 (MSFT1514T42-O),0.07,0.0,0.0,0.03,0,142,
15 Aug 42.00 (MSFT1514H42-P),0.0,0.0,4.20,4.45,0,124,15 Aug 42.00 (MSFT1514T42-P),0.0,0.0,0.0,0.03,0,142,
